Code,iso3,Country,code_note,Value2021,Share2021,Value2023,Share2023,abs_change,pct_change,status
FJI,FJI,Fiji,,142.27533,4.847588491233344e-07,0.0,0.0,-142.27533,-100.0,Only in 2021 (no 2023 mirror data)
FLK,FLK,Falkland Islands (Malvinas),,1137.17067,3.87455467680877e-06,0.0,0.0,-1137.17067,-100.0,Only in 2021 (no 2023 mirror data)
FRA,FRA,France,,12211452.63258,0.04160671933984334,2179521.207379,0.00841759190374394,-10031931.425201,-82.15182687140705,Present in both years
FRO,FRO,Faroe Islands,,351524.41022,0.0011977098808135331,0.0,0.0,-351524.41022,-100.0,Only in 2021 (no 2023 mirror data)
FSM,FSM,"Micronesia, Fed. Sts.",,0.50785,1.7303406115964405e-09,0.0,0.0,-0.50785,-100.0,Only in 2021 (no 2023 mirror data)
GAB,GAB,Gabon,,76556.24335,0.00026084154167522875,0.994461,3.840736595656104e-09,-76555.24888900001,-99.99870100601012,Present in both years
GBR,GBR,United Kingdom,,4466785.23945,0.015219178700600307,814337.271749,0.0031450755341970514,-3652447.967701,-81.76905250431807,Present in both years
GEO,GEO,Georgia,,567265.58048,0.0019327806861580644,657019.44019,0.0025374937860762965,89753.85970999999,15.82219383627215,Present in both years
GHA,GHA,Ghana,,80535.0082,0.0002743979429825979,10979.458801,4.2404085446788956e-05,-69555.549399,-86.36684958951801,Present in both years
GIB,GIB,Gibraltar,,20.99498,7.153385159723351e-08,0.0,0.0,-20.99498,-100.0,Only in 2021 (no 2023 mirror data)
GIN,GIN,Guinea,,102490.64419,0.00034920493049254265,0.0,0.0,-102490.64419,-100.0,Only in 2021 (no 2023 mirror data)
GMB,GMB,Gambia,,3.75413,1.2791028059884896e-08,0.0,0.0,-3.75413,-100.0,Only in 2021 (no 2023 mirror data)
GNQ,GNQ,Equatorial Guinea,,6.19046,2.1092063291253915e-08,0.0,0.0,-6.19046,-100.0,Only in 2021 (no 2023 mirror data)
GRC,GRC,Greece,,298695.27825,0.001017711076987445,104134.342497,0.00040218025653375504,-194560.93575299997,-65.13693048410282,Present in both years
GRD,GRD,Grenada,,42.68043,1.4542026454543482e-07,0.0,0.0,-42.68043,-100.0,Only in 2021 (no 2023 mirror data)
GRL,GRL,Greenland,,103432.89195,0.000352415346098162,0.0,0.0,-103432.89195,-100.0,Only in 2021 (no 2023 mirror data)
GTM,GTM,Guatemala,,39688.56313,0.0001352264105538016,2683.256,1.0363080618258348e-05,-37005.30713,-93.23922110455098,Present in both years
GUM,GUM,Guam,,0.13072,4.453876631837879e-10,0.0,0.0,-0.13072,-100.0,Only in 2021 (no 2023 mirror data)
GUY,GUY,Guyana,,240.74375,8.202593041508724e-07,0.0,0.0,-240.74375,-100.0,Only in 2021 (no 2023 mirror data)
HKG,HKG,"Hong Kong SAR, China",,551897.81077,0.0018804197999931049,2649171.532368,0.010231442009828578,2097273.7215980003,380.0112413332305,Present in both years
